player_name,last_first,chadwick_name,espn_name,savant_id,bbref_id,retro_id,fangraphs_id,espn_id,espn_headshot
Jesse Biddle,"Biddle, Jesse",Jesse Biddle,Jesse Biddle,592145,biddlje01,biddj001,11437,31762,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31762.png
Jabari Blash,"Blash, Jabari",Jabari Blash,Jabari Blash,518466,blashja01,blasj001,11247,31765,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31765.png
Wilfredo Boscan,"Boscan, Wilfredo",Wilfredo Boscan,Wilfredo Boscan,517448,boscawi01,boscw001,7655,31766,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31766.png
Madison Younginer,"Younginer, Madison",Madison Younginer,Madison Younginer,572283,youngma03,younm005,10636,31768,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31768.png
Ryan Brett,"Brett, Ryan",Ryan Brett,Ryan Brett,592166,brettry01,bretr001,12138,31769,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31769.png
Michael Ynoa,"Ynoa, Michael",Michael Ynoa,Michael Ynoa,573589,ynoami01,ynoam001,14093,31770,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31770.png
Ji-Man Choi,"Choi, Ji-Man",Ji-Man Choi,Ji-Man Choi,596847,choiji01,choij001,5452,31779,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31779.png
Jose De Paula,"De Paula, Jose",Jose De Paula,Jose De Paula,517059,depaujo02,depaj004,5744,31783,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31783.png
Derek Dietrich,"Dietrich, Derek",Derek Dietrich,Derek Dietrich,518618,dietrde01,dietd001,10542,31784,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31784.png
Robbie Erlin,"Erlin, Robbie",Robbie Erlin,Robbie Erlin,572362,erlinro01,erlir001,10354,31791,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31791.png
Kendry Flores,"Flores, Kendry",Kendry Flores,Kendry Flores,572309,floreke01,flork002,12118,31793,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31793.png
Buddy Baumann,"Baumann, Buddy",Buddy Baumann,Buddy Baumann,571473,baumabu01,baumb001,9309,31797,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31797.png
Preston Guilmet,"Guilmet, Preston",Preston Guilmet,Preston Guilmet,543258,guilmpr01,guilp001,7303,31799,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31799.png
Eric Surkamp,"Surkamp, Eric",Eric Surkamp,Eric Surkamp,474668,surkaer01,surke001,2540,31800,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31800.png
Tim Melville,"Melville, Tim",Tim Melville,Tim Melville,543532,melviti01,melvt001,9149,31803,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31803.png
Zach Neal,"Neal, Zach",Zach Neal,Zach Neal,594943,nealza01,nealz001,11294,31806,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31806.png
Cameron Rupp,"Rupp, Cameron",Cameron Rupp,Cameron Rupp,519237,ruppca01,ruppc001,11146,31811,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31811.png
Andy Wilkins,"Wilkins, Andy",Andy Wilkins,Andy Wilkins,519421,wilkian01,wilka002,11251,31814,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31814.png
Dallas Keuchel,"Keuchel, Dallas",Dallas Keuchel,Dallas Keuchel,572971,keuchda01,keucd001,9434,31815,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31815.png
Drew Smyly,"Smyly, Drew",Drew Smyly,Drew Smyly,592767,smylydr01,smyld001,11760,31816,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31816.png
Mike Foltynewicz,"Foltynewicz, Mike",Mike Foltynewicz,Mike Foltynewicz,592314,foltymi01,foltm001,10811,31819,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31819.png
Ben Gamel,"Gamel, Ben",Ben Gamel,Ben Gamel,592325,gamelbe01,gameb001,12160,31824,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31824.png
Perci Garner,"Garner, Perci",Perci Garner,Perci Garner,592330,garnepe01,garnp002,10887,31826,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31826.png
Edgar Olmos,"Olmos, Edgar",Edgar Olmos,Edgar Olmos,543607,olmosed01,olmoe001,10174,31831,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31831.png
Rafael Ortega,"Ortega, Rafael",Rafael Ortega,Rafael Ortega,542364,ortegra01,orter001,10323,31833,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31833.png
Heath Hembree,"Hembree, Heath",Heath Hembree,Heath Hembree,592390,hembrhe01,hembh001,11632,31840,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31840.png
Jake Petricka,"Petricka, Jake",Jake Petricka,Jake Petricka,502593,petrija01,petrj001,10534,31842,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31842.png
Tony Wolters,"Wolters, Tony",Tony Wolters,Tony Wolters,547172,wolteto01,woltt001,11470,31844,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31844.png
